asset_id,asset_name,manufacturer,model_or_sku,family,width_mm,height_mm,depth_mm,diameter_mm,weight_kg,mount_or_interface,articulation,material_notes,confidence,notes
studio.profoto.d1_500_air,Profoto D1 500 Air,Profoto,901024-EUR,fixture,130,170,300,,2.44,Profoto collar + stand bracket,tilt via stand bracket,"black coated body, plastic controls, frosted glass",VERIFIED,"500 Ws; 300 W modeling lamp"
studio.profoto.acute_d4_head,Profoto Acute/D4 Head,Profoto,900666,fixture,,,220,100,1.55,"Profoto collar; 16 mm / 5/8 in support","tilt via yoke/support","black housing, frosted UV glass, cable",VERIFIED_CONFLICT,"cable length 3 m in one guide vs 4 m in later catalog; make cable parametric"
studio.profoto.acute2_1200,Profoto Acute2 1200,Profoto,Acute2 1200,generator,190,130,220,,4.1,head sockets,none,"painted metal/plastic, labels, switches",VERIFIED,"period catalog dimensions"
studio.profoto.acute2_2400,Profoto Acute2 2400,Profoto,Acute2 2400,generator,190,130,300,,5.9,head sockets,none,"painted metal/plastic, labels, switches",VERIFIED,"period catalog dimensions"
studio.profoto.magnum_100624,Profoto Magnum Reflector,Profoto,100624,modifier,,,265,345,0.8,Profoto collar,slide/zoom along collar,"black exterior, textured silver reflective interior, rubber collar",VERIFIED,"25–50 degree light spread on ProHead"
studio.profoto.zoom_100785,Profoto Zoom Reflector,Profoto,100785,modifier,,,180,193,0.3,Profoto collar,slide/zoom along collar,"black exterior/rim, reflective metal interior",VERIFIED,"integrated grid holder"
studio.profoto.softlight_silver_100607,Profoto Softlight Reflector Silver,Profoto,100607,modifier,,,190,525,1.25,Profoto collar,static,"metal shell, silver interior, central deflector",VERIFIED,"26 degree at position 4"
studio.profoto.softlight_white_100608,Profoto Softlight Reflector White,Profoto,100608,modifier,,,190,525,1.25,Profoto collar,static,"metal shell, white interior, central deflector",VERIFIED,"65 degree at position 4"
studio.profoto.rfi_5_octa_254712,Profoto RFi Softbox 5 ft Octa,Profoto,254712,soft_modifier,,,470,1500,3.0,RFi speedring,soft structural deformation,"black fabric, silver lining, 2 diffusers, steel rods",VERIFIED_CORROBORATED,"8 rods; depth corroborated by historical/retail sources"
studio.profoto.rfi_3x4_254704,Profoto RFi Softbox 3x4 ft,Profoto,254704,soft_modifier,900,1200,520,,2.4,RFi speedring,soft structural deformation,"black fabric, silver lining, 2 diffusers, steel rods",VERIFIED,"4 rods"
studio.profoto.rfi_2x3_254703,Profoto RFi Softbox 2x3 ft,Profoto,254703,soft_modifier,600,900,435,,1.5,RFi speedring,soft structural deformation,"black fabric, silver lining, 2 diffusers, steel rods",VERIFIED,"4 rods"
studio.grifon.sb_fw95,Grifon SB-FW95 Octabox,Grifon,SB-FW95,soft_modifier,,,,950,1.4,swappable speedring,soft structural deformation,"black polyester, silver lining, white nylon diffusers, 8 metal rods",VERIFIED_PARTIAL,"retail shell Bowens; historical Sensetique config described Profoto speedring"
studio.fotokvant.evenly_30160,Fotokvant Evenly Stripbox,Fotokvant,SBE-30160PF class,soft_modifier,300,1600,,, ,Profoto adapter version,soft structural deformation,"black fabric, reflective interior, diffusion system",PARTIAL,"exact depth and rod geometry unresolved"
studio.fotokvant.u104w_para,Fotokvant U-104W Para,Fotokvant,U-104W,umbrella,,,,1040,0.4,umbrella shaft,open/close,"white reflective fabric, fiberglass ribs",VERIFIED_PARTIAL,"deep/parabolic profile; exact depth unresolved"
studio.fotokvant.u101s,Fotokvant U-101S,Fotokvant,U-101S,umbrella,,,,1010,0.35,umbrella shaft,open/close,"silver reflective fabric, dark rear fabric",VERIFIED_PARTIAL,"exact rib count/depth unresolved"
studio.lumifor.lusl_18016,Lumifor LUSL-18016 ULTRA,Lumifor,LUSL-18016 ULTRA,umbrella,,,,1800,,umbrella shaft,open/close,"neutral translucent fabric, fiberglass ribs",VERIFIED_PARTIAL,"16 ribs; weight unresolved"
studio.dedolight.dlhm4_300,Dedolight DLHM4-300,Dedolight,DLHM4-300E class,continuous_fixture,,,,,1.02,16 mm / 5/8 in mount,focus + tilt,"black metal, glass optics, integrated electronic supply",PARTIAL,"150 W / 24 V; focus 48 to 4.5 deg; exact exterior dimensions unresolved"
studio.arri.300_plus,ARRI 300 Plus,ARRI,L3.79200 class,continuous_fixture,187,233,160,,1.8,16 mm / 5/8 in mount,focus + tilt + barndoors,"cast/extruded aluminum, Fresnel glass, painted finish",VERIFIED_REVISION,"period 233x187x160 mm; current data separates pin-inclusive/exclusive height"
